is_canceled,country,market_segment,deposit_type,total_of_special_requests,reservation_status_month,arrival_date_month,lead_time
1,135,5,0,1,7,5,312
0,135,6,0,0,7,5,30
0,135,5,0,0,7,5,47
0,51,5,0,0,7,5,40
0,51,6,0,0,7,5,11
0,51,5,0,0,7,5,39
1,135,6,0,0,7,5,39
0,135,3,0,0,7,5,1
1,135,6,0,2,7,5,12
1,135,6,0,1,7,5,16
1,135,3,0,0,7,5,16
0,51,6,0,1,7,5,12
0,135,5,0,0,7,5,51
0,59,6,0,1,7,5,67
0,135,5,0,2,7,5,52
0,51,6,0,2,7,5,25
0,51,6,0,1,7,5,94
1,135,6,0,0,6,5,54
0,135,6,0,1,7,5,33
0,135,3,0,0,7,5,47
0,76,3,0,0,7,5,43
1,135,6,0,3,6,5,87
0,135,6,0,0,8,5,54
0,135,6,0,0,8,5,32
1,135,6,0,1,6,5,29
1,135,6,0,1,5,5,96
1,135,6,0,0,4,5,100
0,135,6,0,1,8,5,75
0,135,5,0,0,8,5,31
1,135,3,0,0,7,5,25
0,59,6,0,0,8,5,61
0,59,6,0,1,8,5,60
1,135,6,0,1,6,5,31
1,135,6,0,2,4,5,107
1,135,6,0,1,6,5,31
0,135,6,0,2,8,5,115
0,76,5,0,1,8,5,59
1,135,5,0,0,7,5,85
0,135,6,0,0,8,5,0
1,135,6,0,1,3,5,299
0,135,3,0,0,8,5,50
1,135,6,0,0,6,5,50
1,135,6,0,1,5,5,88
1,135,6,0,1,6,5,116
0,51,6,0,0,7,5,47
0,34,6,0,3,7,5,48
1,135,6,0,2,6,5,54
1,135,5,0,0,6,5,33
0,135,3,0,1,7,5,73
0,51,3,0,0,8,5,38
0,140,6,0,0,7,5,34
0,135,3,0,1,8,5,130
1,135,5,0,1,6,5,39
0,59,5,0,0,8,5,45
0,135,6,0,0,7,5,31
1,135,6,0,1,7,5,48
0,135,6,0,0,7,5,59
1,135,6,0,1,7,5,48
1,135,6,0,1,6,5,48
1,135,6,0,1,6,5,48
0,135,6,0,0,7,5,48
0,135,6,0,2,7,5,96
0,51,3,0,0,7,5,51
0,135,6,0,2,7,5,96
1,135,6,0,0,6,5,41
0,51,3,0,2,7,5,6
0,135,6,0,0,7,5,27
0,51,5,0,0,7,5,28
0,135,6,0,1,7,5,30
0,51,5,0,2,7,5,45
0,135,3,0,2,7,5,52
0,51,3,0,0,7,5,31
1,135,5,0,1,6,5,74
0,135,5,0,0,7,5,31
1,135,6,0,2,5,5,87
0,135,6,0,0,7,5,48
1,135,6,0,0,6,5,41
0,135,5,0,0,7,5,35
0,135,6,0,0,8,5,28
0,135,6,0,1,8,5,77
1,135,6,0,0,6,5,33
0,135,5,0,0,8,5,30
1,135,6,0,0,7,5,34
1,135,5,0,1,3,5,298
0,51,6,0,1,8,5,35
0,135,6,0,0,8,5,40
1,135,6,0,2,5,5,101
1,135,6,0,2,5,5,101
1,135,6,0,2,5,5,101
0,59,5,0,0,8,5,38
0,59,6,0,1,8,5,76
0,59,6,0,1,7,5,70
0,169,6,0,1,7,5,70
0,135,6,0,1,7,5,68
1,135,6,0,0,7,5,63
1,135,6,0,0,7,5,11
0,51,5,0,1,8,5,32
0,140,5,0,1,8,5,29
0,135,3,0,2,8,5,47
0,135,6,0,1,8,5,50
1,135,6,0,2,7,5,29
0,51,3,0,0,8,5,36
0,124,6,0,1,8,5,49
1,135,5,0,0,5,5,70
0,169,5,0,1,8,5,110
0,135,5,0,0,7,5,8
1,135,6,0,1,4,5,119
0,135,6,0,2,8,5,30
1,135,6,0,1,7,5,29
0,59,6,0,0,8,5,71
1,135,5,0,1,7,5,37
1,135,3,0,0,6,5,40
0,135,3,0,1,8,5,37
0,135,3,0,0,7,5,0
0,135,3,0,1,8,5,37
0,59,6,0,2,8,5,97
1,135,6,0,0,5,5,71
1,135,6,0,2,7,5,118
0,59,5,0,1,8,5,102
1,135,6,0,0,6,5,54
1,135,6,0,0,6,5,58
0,59,6,0,1,8,5,34
1,135,5,0,0,4,5,105
1,135,6,0,1,6,5,47
1,135,6,0,3,7,5,15
0,51,5,0,0,7,5,37
1,135,2,0,0,7,5,0
1,135,6,0,1,7,5,8
0,59,6,0,1,8,5,17
0,135,3,0,2,8,5,3
1,135,6,0,2,7,5,30
1,135,6,0,2,6,5,31
1,135,6,0,0,6,5,66
0,51,5,0,0,7,5,52
0,25,6,0,1,8,5,20
1,135,6,0,0,6,5,62
1,135,6,0,0,6,5,65
1,135,6,0,0,6,5,64
0,135,3,0,3,8,5,77
0,29,5,0,1,8,5,75
1,135,3,0,0,6,5,62
0,135,5,0,0,7,5,42
0,135,6,0,0,7,5,46
0,135,3,0,0,8,5,0
1,135,6,0,2,7,5,25
1,135,6,0,3,7,5,16
0,135,3,0,1,8,5,16
1,135,6,0,3,7,5,4
0,135,6,0,2,8,5,4
1,135,6,0,0,7,5,25
1,135,6,0,1,6,5,83
0,135,6,0,2,8,5,4
1,135,6,0,0,7,5,56
1,135,6,0,2,7,5,32
0,135,6,0,0,8,5,32
0,135,6,0,1,8,5,0
1,135,6,0,1,7,5,18
1,135,3,0,0,7,5,23
1,135,6,0,1,7,5,39
1,135,6,0,3,7,5,18
1,135,6,0,1,7,5,23
0,76,3,0,0,8,5,286
0,135,6,0,0,8,5,72
1,135,6,0,0,7,5,136
0,123,6,0,0,8,5,58
0,15,6,0,1,8,5,80
0,76,5,0,0,8,5,113
0,135,5,0,0,8,1,129
1,135,5,0,0,5,1,84
1,135,3,0,0,5,1,89
1,135,3,0,0,7,1,10
1,135,6,0,2,7,1,80
1,135,3,0,0,7,1,10
1,135,6,0,1,7,1,24
0,135,6,0,2,8,1,1
1,135,6,0,2,7,1,9
1,135,3,0,1,7,1,3
0,51,6,0,2,8,1,3
1,135,6,0,1,6,1,124
1,135,3,0,0,7,1,74
1,135,6,0,0,6,1,82
1,135,6,0,2,5,1,91
1,135,6,0,0,5,1,77
1,135,6,0,2,5,1,130
1,135,6,0,3,6,1,91
0,135,3,0,4,8,1,79
1,135,5,0,0,5,1,130
0,135,6,0,0,8,1,66
1,135,6,0,0,6,1,53
1,135,6,0,1,7,1,80
1,135,6,0,3,7,1,77
1,135,6,0,0,7,1,57
0,135,5,0,0,8,1,11
1,135,6,0,2,7,1,25
1,135,6,0,1,8,1,2
1,135,6,0,2,6,1,36
0,135,5,0,1,8,1,115
0,135,3,0,4,8,1,95
0,135,3,0,1,8,1,67
0,135,3,0,0,8,1,60
0,51,3,0,1,8,1,34
0,76,5,0,0,8,1,78
0,135,5,0,0,8,1,93
1,135,5,0,0,4,1,327
0,135,3,0,0,8,1,21
0,135,6,0,0,8,1,0
1,135,6,0,0,6,1,47
1,135,5,0,0,7,1,81
1,135,6,0,0,7,1,52
1,135,5,0,0,7,1,13
0,76,6,0,1,8,1,83
1,135,5,0,1,3,1,131
0,59,5,0,0,8,1,460
1,135,6,0,0,7,1,82
1,135,6,0,0,7,1,61
0,135,6,0,1,8,1,94
0,135,6,0,2,8,1,1
0,135,3,0,0,8,1,0
1,135,3,0,0,7,1,36
1,135,6,0,0,7,1,61
0,135,3,0,2,8,1,13
0,135,3,0,2,8,1,13
1,135,6,0,1,7,1,15
0,51,6,0,2,8,1,14
1,135,6,0,1,7,1,13
0,51,5,0,0,8,1,140
0,51,6,0,2,8,1,6
0,135,5,0,0,8,1,140
0,140,3,0,1,8,1,81
0,135,6,0,2,8,1,1
0,135,5,0,0,8,1,65
1,135,3,0,1,8,1,0
0,51,6,0,0,8,1,2
0,135,3,0,0,8,1,0
1,135,6,0,0,7,1,114
1,135,6,0,1,6,1,111
0,51,6,0,0,8,1,44
0,135,6,0,1,8,1,139
1,135,6,0,0,7,1,57
1,135,6,0,1,7,1,16
0,135,6,0,2,8,1,139
